50;19;5;14
51;19;6;15
52;19;6;13
53;24;6;17
54;26;6;19
55;22;6;17
56;29;8;17
57;29;9;18
58;32;10;21
59;36;10;20
60;36;9;20
61;36;9;24
62;37;9;32
63;44;10;24
64;41;11;28
65;42;10;30
66;40;11;28
67;51;11;31
68;54;12;27
69;49;14;30
70;47;12;28
71;45;11;31
72;51;12;34
73;55;12;25
74;59;12;30
75;54;13;35
76;60;14;34
77;73;14;33
78;64;15;41
79;75;15;41
80;75;15;38
81;75;16;39
82;76;18;42
83;84;17;40
84;78;18;38
85;86;19;45
86;98;18;43
87;80;19;46
88;100;20;62
89;100;19;45
90;96;19;54
91;106;20;55
92;141;29;99
93;125;22;47
94;130;23;45
95;113;23;67
96;119;26;55
97;140;24;58
98;129;24;58
99;131;26;69
100;147;26;62
101;145;25;60
102;131;26;65
103;153;26;61
104;136;27;66
105;183;30;79
106;176;33;87
107;194;33;81
108;201;31;77
109;180;31;75
110;196;32;78
111;204;35;90
112;209;33;77
113;189;35;72
114;234;37;81
115;244;36;80
116;229;35;99
117;224;35;102
118;224;36;83
119;260;40;84
